mode: count
dbms/main.go:36.30,40.2 1 0
dbms/main.go:421.21,423.17 2 0
dbms/main.go:423.17,424.12 1 0
dbms/main.go:427.3,428.22 2 0
dbms/main.go:428.22,429.12 1 0
dbms/main.go:432.3,432.31 1 0
dbms/main.go:432.31,436.22 3 0
dbms/main.go:437.17,441.6 1 0
dbms/main.go:442.17,446.6 1 0
dbms/main.go:447.17,451.6 1 0
dbms/main.go:452.17,456.6 1 0
dbms/main.go:457.17,461.6 1 0
dbms/main.go:463.9,466.4 1 0
dbms/main.go:469.2,469.22 1 0
dbms/main.go:472.19,526.2 53 0
dbms/main.go:528.13,535.11 5 0
dbms/main.go:535.11,538.3 2 0
dbms/main.go:540.2,540.37 1 0
dbms/main.go:540.37,545.3 4 0
dbms/main.go:548.2,551.51 2 0
dbms/main.go:551.51,554.3 2 0
dbms/main.go:557.2,560.49 2 0
dbms/main.go:560.49,563.3 2 0
dbms/main.go:566.2,568.54 2 0
dbms/main.go:568.54,570.3 1 0
dbms/structures/array.go:11.24,15.2 1 1
dbms/structures/array.go:18.36,20.2 1 2
dbms/structures/array.go:23.47,24.39 1 4
dbms/structures/array.go:24.39,26.3 1 1
dbms/structures/array.go:27.2,27.28 1 3
dbms/structures/array.go:31.40,32.39 1 2
dbms/structures/array.go:32.39,34.3 1 1
dbms/structures/array.go:35.2,36.13 2 1
dbms/structures/array.go:40.27,42.2 1 3
dbms/structures/array.go:45.35,47.2 1 1
dbms/structures/array.go:50.43,52.29 2 1
dbms/structures/array.go:52.29,54.3 1 1
dbms/structures/array.go:55.2,55.22 1 1
dbms/structures/array.go:55.22,57.3 1 0
dbms/structures/array.go:58.2,58.15 1 1
dbms/structures/list.go:17.34,19.2 1 1
dbms/structures/list.go:22.46,25.2 2 1
dbms/structures/list.go:28.45,30.19 2 1
dbms/structures/list.go:30.19,33.3 2 1
dbms/structures/list.go:34.2,35.26 2 0
dbms/structures/list.go:35.26,37.3 1 0
dbms/structures/list.go:38.2,38.24 1 0
dbms/structures/list.go:42.52,44.34 2 3
dbms/structures/list.go:44.34,45.17 1 4
dbms/structures/list.go:45.17,47.4 1 3
dbms/structures/list.go:48.3,48.25 1 1
dbms/structures/list.go:50.2,50.18 1 0
dbms/structures/list.go:54.48,55.19 1 2
dbms/structures/list.go:55.19,57.3 1 0
dbms/structures/list.go:58.2,58.26 1 2
dbms/structures/list.go:58.26,61.3 2 1
dbms/structures/list.go:62.2,63.26 2 1
dbms/structures/list.go:63.26,64.33 1 0
dbms/structures/list.go:64.33,67.4 2 0
dbms/structures/list.go:68.3,68.25 1 0
dbms/structures/list.go:70.2,70.14 1 1
dbms/structures/list.go:74.40,77.21 3 1
dbms/structures/list.go:77.21,80.3 2 1
dbms/structures/list.go:81.2,81.15 1 1
dbms/structures/list.go:85.48,89.21 4 1
dbms/structures/list.go:89.21,93.3 3 1
dbms/structures/list.go:94.2,94.16 1 1
dbms/structures/list.go:94.16,96.3 1 0
dbms/structures/list.go:97.2,97.15 1 1
dbms/structures/list.go:114.34,116.2 1 1
dbms/structures/list.go:119.46,121.19 2 1
dbms/structures/list.go:121.19,123.3 1 1
dbms/structures/list.go:123.8,125.3 1 0
dbms/structures/list.go:126.2,126.18 1 1
dbms/structures/list.go:130.45,132.19 2 2
dbms/structures/list.go:132.19,134.3 1 1
dbms/structures/list.go:134.8,136.3 1 1
dbms/structures/list.go:137.2,137.18 1 2
dbms/structures/list.go:141.52,143.34 2 3
dbms/structures/list.go:143.34,144.17 1 4
dbms/structures/list.go:144.17,146.4 1 3
dbms/structures/list.go:147.3,147.25 1 1
dbms/structures/list.go:149.2,149.18 1 0
dbms/structures/list.go:153.48,155.21 2 2
dbms/structures/list.go:155.21,156.28 1 3
dbms/structures/list.go:156.28,157.27 1 2
dbms/structures/list.go:157.27,159.5 1 1
dbms/structures/list.go:159.10,161.5 1 1
dbms/structures/list.go:162.4,162.27 1 2
dbms/structures/list.go:162.27,164.5 1 1
dbms/structures/list.go:164.10,166.5 1 1
dbms/structures/list.go:167.4,167.15 1 2
dbms/structures/list.go:169.3,169.25 1 1
dbms/structures/list.go:171.2,171.14 1 0
dbms/structures/list.go:175.40,178.21 3 1
dbms/structures/list.go:178.21,181.3 2 1
dbms/structures/list.go:182.2,182.15 1 1
dbms/structures/list.go:186.48,190.21 4 1
dbms/structures/list.go:190.21,194.3 3 1
dbms/structures/list.go:195.2,195.16 1 1
dbms/structures/list.go:195.16,197.3 1 0
dbms/structures/list.go:198.2,198.15 1 1
dbms/structures/queue.go:18.24,20.2 1 1
dbms/structures/queue.go:23.43,25.19 2 2
dbms/structures/queue.go:25.19,28.3 2 1
dbms/structures/queue.go:28.8,31.3 2 1
dbms/structures/queue.go:32.2,32.14 1 2
dbms/structures/queue.go:36.38,37.20 1 3
dbms/structures/queue.go:37.20,39.3 1 1
dbms/structures/queue.go:40.2,42.20 3 2
dbms/structures/queue.go:42.20,44.3 1 1
dbms/structures/queue.go:45.2,45.20 1 2
dbms/structures/queue.go:49.32,51.2 1 1
dbms/structures/queue.go:54.35,57.21 3 2
dbms/structures/queue.go:57.21,60.3 2 0
dbms/structures/queue.go:61.2,61.15 1 2
dbms/structures/queue.go:65.43,68.29 3 1
dbms/structures/queue.go:68.29,70.3 1 0
dbms/structures/queue.go:71.2,71.22 1 1
dbms/structures/queue.go:71.22,73.3 1 1
dbms/structures/queue.go:74.2,74.15 1 1
dbms/structures/stack.go:17.24,19.2 1 1
dbms/structures/stack.go:22.43,26.2 3 2
dbms/structures/stack.go:29.38,30.18 1 3
dbms/structures/stack.go:30.18,32.3 1 1
dbms/structures/stack.go:33.2,35.20 3 2
dbms/structures/stack.go:39.32,41.2 1 2
dbms/structures/stack.go:44.35,47.21 3 1
dbms/structures/stack.go:47.21,50.3 2 0
dbms/structures/stack.go:51.2,51.15 1 1
dbms/structures/stack.go:55.43,59.21 4 1
dbms/structures/stack.go:59.21,63.3 3 0
dbms/structures/stack.go:64.2,64.16 1 1
dbms/structures/stack.go:64.16,66.3 1 1
dbms/structures/stack.go:67.2,67.15 1 1
